2026/06/12 10:36:15 WARNING: MongoDB connect error: server selection error: context deadline exceeded, current topology: { Type: Unknown, Servers: [{ Addr: localhost:27017, Type: Unknown, Last error: dial tcp [::1]:27017: connectex: No connection could be made because the target machine actively refused it. }, ] }. Falling back to In-Memory User Repository.
2026/06/12 10:36:15 listening on http://localhost:8080
2026/06/12 11:19:44 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:47 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:47 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:50 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:53 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:53 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:56 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:19:59 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:19:59 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:02 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:05 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:20:05 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:11 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:20:11 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:20:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:16 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:20:16 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:19 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:22 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:20:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:20:27 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:20:27 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:21:08 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:21:08 GET /api/v1/markets/market-1 200 2ms
2026/06/12 11:21:24 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:21:24 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:21:31 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:21:31 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:21:34 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:21:39 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:21:39 GET /api/v1/markets/market-1 200 2ms
2026/06/12 11:22:33 OPTIONS /api/v1/markets/market-1 204 1ms
2026/06/12 11:22:34 GET /api/v1/markets/market-1 200 13ms
2026/06/12 11:22:36 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:22:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:22:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:22:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:22:42 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:22:45 OPTIONS /api/v1/markets/market-1 204 1ms
2026/06/12 11:22:45 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:22:48 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:23 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:23:23 GET /api/v1/markets/market-1 200 4ms
2026/06/12 11:23:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:27 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:23:29 GET /api/v1/markets/market-1 200 3ms
2026/06/12 11:23:31 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:33 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:23:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:23:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:37 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:39 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:41 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:23:41 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:45 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:47 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:23:47 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:23:49 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:01 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:07 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:07 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:24:09 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:11 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:24:14 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:16 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:18 GET /api/v1/markets/market-1 200 2ms
2026/06/12 11:24:20 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:25 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:25 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:24:28 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:30 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:32 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:34 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:36 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:38 OPTIONS /api/v1/markets/market-1 204 3ms
2026/06/12 11:24:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:41 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:41 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:42 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:45 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:24:45 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:24:45 GET /api/v1/markets/market-1 200 0s
